brand,model,firmware,option,exe_can_1,exe_can_2,exe_can_3,exe_lin,read_can_1,read_can_2,read_can_3,read_lin,explanation
Acura,MDX II (2007-2012 г.),All configurations,Model code,,,,,,,,,2615
Acura,MDX II (2007-2012 г.),All configurations,CAN Block,,,,,,,,,No
Acura,MDX II (2007-2012 г.),All configurations,Immobilizer bypass,,,,,,,,,Yes
Acura,MDX II (2007-2012 г.),All configurations,Alarms with immobilizer bypass support,,,,,,,,,"Pandora Professional, Pandora Control, Light, Pandora Optima, Pandora Elite, Pandora Advanced, Light Pro/ Light +, Smart Pro, Elite/Professional, Smart, Professional v2, Light Pro v2, Pandora Elite v2, Smart Pro v3, Light v3"
Acura,MDX II (2007-2012 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Front hood,-,-,-,-,+,-,-,-,avaliability of status depends on configuration
Acura,MDX II (2007-2012 г.),All configurations,Trunk,+,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Marker lights,+,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,Automatic transmission selector position
Acura,MDX II (2007-2012 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Factory alarm triggering,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Fuel level,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
